scenario_model,scenario_depth,respondent_id,timestamp,weight_accuracy,weight_contiguity,weight_residual,weight_replicon,combo,rank,overall_score,is_eligible,is_near_tie,is_winner,scoring_version,source_data_hash,survey_data_hash,source_data_commit
hac,20x,1,2026-06-11T03:58:21.440403+00:00,40.0,35.0,5.0,20.0,filtlong-porechop_abi,14,73.58830600894932,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,1,2026-06-11T03:58:21.440403+00:00,40.0,35.0,5.0,20.0,filtlong-untrimmed,15,71.18881279396925,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,1,2026-06-11T03:58:21.440403+00:00,40.0,35.0,5.0,20.0,filtlong-dorado,16,69.16085264000345,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,1,2026-06-11T03:58:21.440403+00:00,40.0,35.0,5.0,20.0,filtlong-barbell,17,59.517617415148855,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,seqkit-dorado,1,94.24486293418664,True,False,True,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,chopper-dorado,2,91.88660377459205,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,unprocessed-porechop_abi,3,90.95594074738351,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,unprocessed-dorado,4,89.2364777415763,True,False,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,fastplong-all,5,88.14594828897965,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
hac,20x,2,2026-06-11T04:07:26.649433+00:00,30.0,20.0,35.0,15.0,seqkit-porechop_abi,6,88.03796941794322,True,True,False,1.0,ee7a50a277fef6153a1cc05f9cc2afd227e940efbd36a4c2b0abe9a57580901b,3e7cfddea1d70f28dbf0ec0a605e0a0e4201d8a77c82fc3d93e97e30380c297f,4d6b8cb1d482e5066f9ca575ebd3b67af4a32562
